Date,TBSP_synth
2022-06-09,1748.7787144556314
2022-06-10,1749.1987706360683
2022-06-13,1727.2545893358856
2022-06-14,1725.1384382790286
2022-06-15,1719.0772189289007
2022-06-16,1719.6516180230908
2022-06-17,1717.4187827491567
2022-06-20,1715.3697707204221
2022-06-21,1717.3273953072846
2022-06-22,1735.192256680472
2022-06-23,1751.708327033931
2022-06-24,1747.6171938452069
2022-06-27,1748.1514326053846
2022-06-28,1732.588056857096
2022-06-29,1745.5845084991895
2022-06-30,1753.182335596538
2022-07-01,1753.7121477780615
2022-07-04,1760.46745704704
2022-07-05,1764.2831873569428
2022-07-06,1757.606784313559
2022-07-07,1750.152548968671
2022-07-08,1758.6541202729986
2022-07-11,1767.0792605082956
2022-07-12,1758.4800959562067
2022-07-13,1759.2871088623212
2022-07-14,1752.6167347410476
2022-07-15,1761.3419671967497
2022-07-18,1765.6533505859034
2022-07-19,1766.4384519955984
2022-07-20,1770.5179449268662
2022-07-21,1777.4762125349628
2022-07-22,1795.7078328134921
2022-07-25,1798.4264302243141
2022-07-26,1805.7189624318505
2022-07-27,1801.0956120094331
2022-07-28,1798.524548158075
2022-07-29,1802.5856990818322
2022-08-01,1816.2726281707576
2022-08-02,1814.4484268052283
2022-08-03,1800.4730828254496
2022-08-04,1803.8096840650423
2022-08-05,1812.9026195971785
2022-08-08,1814.7002108779081
2022-08-09,1813.7192047682115
2022-08-10,1813.1549390468626
2022-08-11,1819.0188721630213
2022-08-12,1819.5743389022246
2022-08-15,1820.0185309246178
2022-08-16,1821.7439540063199
2022-08-17,1814.3939563712984
2022-08-18,1806.7833150279193
2022-08-19,1797.8905737727755
2022-08-22,1802.4155508670135
2022-08-23,1793.080942514216
2022-08-24,1788.942737807077
2022-08-25,1794.888109518176
2022-08-26,1794.1253582273932
2022-08-29,1789.9111531346439
2022-08-30,1799.6896235064569
2022-08-31,1796.561959195639
2022-09-01,1798.130009341146
2022-09-02,1799.8311825551534
2022-09-05,1802.7150778658802
2022-09-06,1807.4521737229422
2022-09-07,1804.0650210635013
2022-09-08,1808.1151919471865
2022-09-09,1811.5036949908028
2022-09-12,1817.5324033778277
2022-09-13,1823.0737276971215
2022-09-14,1814.0475167551592
2022-09-15,1810.8088689456454
2022-09-16,1808.3737822796381
2022-09-19,1810.0425656180403
2022-09-20,1808.1556964910965
2022-09-21,1812.2009102259337
2022-09-22,1809.409786903534
2022-09-23,1802.926109720639
2022-09-26,1792.1072204612642
2022-09-27,1797.4062456184365
2022-09-28,1797.9213454173505
2022-09-29,1785.9198751910233
2022-09-30,1781.267676595693
2022-10-03,1782.906021124341
2022-10-04,1789.2391684811964
2022-10-05,1790.4912732406776
2022-10-06,1787.7222121842797
2022-10-07,1777.8815408709354
2022-10-10,1776.294842201068
2022-10-11,1767.8497944249564
2022-10-12,1753.56794183145
2022-10-13,1760.5603612373093
2022-10-14,1764.4443442323843
2022-10-17,1755.01069961551
2022-10-18,1746.586548523028
2022-10-19,1737.9968209962421
2022-10-20,1739.426733745346
2022-10-21,1720.2193307116904
2022-10-24,1744.7466307959655
2022-10-25,1754.0504641592436
2022-10-26,1760.260815921108
2022-10-27,1752.4024699762788
2022-10-28,1756.6791851298442
2022-10-31,1749.6756059592703
2022-11-01,1750.2991118464179
2022-11-02,1746.8094265719014
2022-11-03,1741.4928503876456
2022-11-04,1755.708930937854
2022-11-07,1766.184135846323
2022-11-08,1772.6872558169541
2022-11-09,1778.6360130702906
2022-11-10,1789.5200435474753
2022-11-11,1790.087709584865
2022-11-14,1800.6061202465548
2022-11-15,1809.7868765836054
2022-11-16,1806.182816835353
2022-11-17,1804.5870328789974
2022-11-18,1799.604148401242
2022-11-21,1806.2982692460328
2022-11-22,1815.1400392241858
2022-11-23,1813.8901617109962
2022-11-24,1822.1030730721254
2022-11-25,1816.8359297560448
2022-11-28,1816.9762270311492
2022-11-29,1824.6112547601504
2022-11-30,1826.1186020926368
2022-12-01,1835.1500518430032
2022-12-02,1838.6113927931133
2022-12-05,1831.9704592094342
2022-12-06,1827.8253613436805
2022-12-07,1832.2064690167433
2022-12-08,1840.38087972321
2022-12-09,1840.8816912142352
2022-12-12,1834.1394101506583
2022-12-13,1833.9666373471975
2022-12-14,1840.8523920673244
2022-12-15,1840.404334261031
2022-12-16,1832.1008352289284
2022-12-19,1828.3453007714998
2022-12-20,1832.2232372166447
2022-12-21,1834.8845646515542
2022-12-22,1839.4575402825437
2022-12-23,1835.3744091707442
2022-12-26,1835.8958755378476
2022-12-27,1835.6933570154752
2022-12-28,1837.0743592500478
2022-12-29,1831.8254833284109
2022-12-30,1836.0974947555032
2023-01-02,1839.7254838088738
2023-01-03,1844.6564573688158
2023-01-04,1854.2506787881334
2023-01-05,1866.1319134830783
2023-01-06,1866.6068778407157
2023-01-09,1879.721311165144
2023-01-10,1872.7553306420723
2023-01-11,1876.655161638735
2023-01-12,1878.7679624644531
2023-01-13,1874.9593386874578
2023-01-16,1873.2732238921155
2023-01-17,1870.0112435915416
2023-01-18,1881.7217710218451
2023-01-19,1876.8320406169298
2023-01-20,1876.667068649553
2023-01-23,1875.0214217195996
2023-01-24,1874.6147357732855
2023-01-25,1880.664050185661
2023-01-26,1880.3165009845075
2023-01-27,1883.120898906727
2023-01-30,1881.636735170396
2023-01-31,1879.2954438263603
2023-02-01,1880.9660391358982
