Date,TBSP,TBSP_synth
2022-10-31,1625.07,1708.163677494051
2022-11-02,1628.98,1704.758000377797
2022-11-03,1632.67,1699.569411601679
2022-11-04,1640.01,1713.4432645150696
2022-11-07,1651.47,1723.6662969201302
2022-11-08,1659.65,1730.0128654860594
2022-11-09,1669.63,1735.8184166616288
2022-11-10,1695.73,1746.4404328644782
2022-11-14,1701.09,1756.7023756568276
2022-11-15,1712.78,1765.6592798271938
2022-11-16,1713.4,1762.1430969982157
2022-11-17,1703.95,1760.5862226570462
2022-11-18,1709.41,1755.724834649269
2022-11-21,1710.04,1762.2557343606215
2022-11-22,1725.29,1770.8819175946903
2022-11-23,1722.85,1769.6625155433417
2022-11-24,1733.89,1777.675173468318
2022-11-25,1718.86,1772.5364576368863
2022-11-28,1724.97,1772.6733340773817
2022-11-29,1729.01,1780.122198767404
2022-11-30,1737.14,1781.5927928135668
2022-12-01,1750.05,1790.4040309037282
2022-12-02,1750.7,1793.7809748125849
2022-12-05,1735.0,1787.3019655101891
2022-12-06,1739.77,1783.2579365655897
2022-12-07,1747.91,1787.5322207473096
2022-12-08,1753.15,1795.507316769797
2022-12-09,1753.95,1795.9959170950694
2022-12-12,1747.16,1789.4180314439257
2022-12-13,1751.66,1789.249471318046
2022-12-14,1755.77,1795.9673323421887
2022-12-15,1752.65,1795.5301994212812
2022-12-16,1741.38,1787.4291626026563
2022-12-19,1735.19,1783.7651984357888
2022-12-20,1739.8,1787.5485800922388
2022-12-21,1750.84,1790.1450170224132
2022-12-22,1746.31,1794.6064908919343
2022-12-23,1744.19,1790.6229177808789
2022-12-27,1744.61,1790.4253933393968
2022-12-28,1746.12,1791.7723402352863
2022-12-29,1740.56,1786.6529009233386
2022-12-30,1744.32,1790.8195650943837
2023-01-02,1752.6,1794.35808840117
2023-01-03,1763.15,1799.1674647830507
2023-01-04,1776.0,1808.5250939278194
2023-01-05,1790.73,1820.1133388930027
2023-01-09,1812.27,1832.9011172458968
2023-01-10,1800.72,1826.1086457196059
2023-01-11,1808.4,1829.91133952767
2023-01-12,1810.47,1831.9715146030785
2023-01-13,1804.19,1828.2577562206206
2023-01-16,1802.38,1826.6136392582653
2023-01-17,1804.65,1823.4329085287457
2023-01-18,1817.76,1834.8517495468525
2023-01-19,1811.78,1830.0838127952893
2023-01-20,1806.78,1829.9229499580574
2023-01-23,1803.89,1828.3182928854437
2023-01-24,1802.72,1827.9217366933422
2023-01-25,1811.49,1833.820374474994
2023-01-26,1815.04,1833.4814820470006
2023-01-27,1817.58,1836.216027883294
2023-01-30,1811.27,1834.7688317727113
2023-01-31,1806.67,1832.4858574324242
2023-02-01,1810.75,1834.114841469116
2023-02-02,1824.26,1838.657031944425
2023-02-03,1827.31,1847.7306009465499
2023-02-06,1815.59,1838.1699133633501
2023-02-07,1803.64,1832.5844032169737
2023-02-08,1809.93,1836.1175388827614
2023-02-09,1817.16,1840.0334403201916
2023-02-10,1804.46,1832.517548438932
2023-02-13,1800.74,1829.1373273482898
2023-02-14,1800.85,1831.3706474953144
2023-02-15,1802.06,1830.8813327348105
2023-02-16,1789.54,1827.9020386346572
2023-02-17,1783.94,1819.010529318177
2023-02-20,1780.49,1819.8288086763412
2023-02-21,1771.54,1814.2268652854104
2023-02-22,1779.45,1816.809944368236
2023-02-23,1781.63,1815.3303455391865
2023-02-24,1783.55,1825.2977406926848
2023-02-27,1784.63,1820.55794557823
2023-02-28,1787.57,1823.1097464928855
2023-03-01,1787.04,1824.009939786988
2023-03-02,1778.39,1820.2168201947006
2023-03-03,1785.8,1822.8350498823736
2023-03-06,1791.65,1829.2273452438642
2023-03-07,1794.78,1832.447718224389
2023-03-08,1800.26,1833.0259685931787
2023-03-09,1803.26,1834.735161358662
2023-03-10,1810.12,1837.4980993396032
2023-03-13,1821.18,1848.2445259815556
2023-03-14,1812.08,1844.4734370937472
2023-03-15,1818.46,1844.2124277962946
2023-03-16,1825.28,1847.5748813984942
2023-03-17,1827.44,1848.3561229620952
2023-03-20,1830.62,1854.1649111778047
2023-03-21,1826.06,1851.0831866970052
2023-03-22,1824.8,1848.8084426382893
2023-03-23,1827.28,1852.7578201846165
2023-03-24,1827.3,1855.4118851399846
2023-03-27,1821.23,1848.9498926159736
2023-03-28,1820.38,1849.7218034679538
2023-03-29,1821.52,1849.165174327007
2023-03-30,1822.46,1850.9114544008348
2023-03-31,1824.34,1849.7837530640886
2023-04-03,1824.42,1849.853965839717
2023-04-04,1822.42,1850.8529910875827
2023-04-05,1823.6,1851.8110676868257
2023-04-06,1824.34,1853.6901538307434
2023-04-11,1820.21,1850.7952329673972
2023-04-12,1818.49,1849.024620746888
2023-04-13,1817.83,1847.657514879501
2023-04-14,1819.32,1850.6991565398896
2023-04-17,1819.66,1850.4156398217235
2023-04-18,1821.52,1851.7903489852026
2023-04-19,1820.06,1851.4683350952916
2023-04-20,1823.42,1852.3416756908368
2023-04-21,1826.53,1855.750687522474
2023-04-24,1830.36,1857.8491420962662
2023-04-25,1836.4,1862.141408669364
2023-04-26,1834.61,1860.97345550175
2023-04-27,1834.91,1862.9219656614819
2023-04-28,1841.18,1865.0847913783025
2023-05-02,1845.31,1867.611481838183
2023-05-04,1849.33,1870.296623763668
2023-05-05,1849.22,1871.7845277586305
2023-05-08,1849.68,1871.1747330798617
2023-05-09,1848.83,1873.2027126895669
2023-05-10,1851.55,1872.8712991640036
2023-05-11,1856.46,1875.825411027074
2023-05-12,1856.04,1875.2898982479887
2023-05-15,1848.31,1872.0306085198156
2023-05-16,1842.81,1869.6675419591909
2023-05-17,1843.86,1869.4166922170273
2023-05-18,1840.46,1868.4831266926944
2023-05-19,1841.84,1869.3352505495686
2023-05-22,1838.93,1868.5118241336154
2023-05-23,1836.69,1865.7897237473603
2023-05-24,1837.92,1866.7185462886498
2023-05-25,1833.65,1865.3143694546895
2023-05-26,1833.61,1865.1727720750227
2023-05-29,1839.46,1867.1036733988797
2023-05-30,1842.11,1870.626914798598
2023-05-31,1844.61,1870.5598471881417
2023-06-01,1849.99,1872.6788285386565
2023-06-02,1849.07,1875.10077022758
2023-06-05,1852.49,1875.6981105899026
2023-06-06,1852.58,1878.8977840314917
2023-06-07,1852.99,1877.9666043707828
2023-06-09,1855.54,1878.9516084316238
2023-06-12,1854.93,1879.5310072204265
2023-06-13,1853.25,1879.662279457861
2023-06-14,1850.68,1876.9961410529
2023-06-15,1848.9,1877.461073375724
2023-06-16,1848.99,1876.6041457754009
2023-06-19,1850.58,1877.4998647617037
2023-06-20,1853.54,1879.939357350965
2023-06-21,1853.69,1880.8499757855307
2023-06-22,1857.36,1883.8488274577094
2023-06-23,1861.62,1885.731703308724
2023-06-26,1866.88,1889.9080949624363
2023-06-27,1868.21,1890.9324560965422
2023-06-28,1864.01,1889.1156100717405
2023-06-29,1864.86,1888.9304495723475
2023-06-30,1870.02,1890.756878398795
2023-07-03,1872.78,1891.2085751872264
2023-07-04,1873.81,1892.7042730787093
2023-07-05,1873.96,1893.9739305826338
2023-07-06,1867.61,1894.4225547281337
2023-07-07,1867.08,1886.5553131141028
2023-07-10,1877.79,1886.445904335925
2023-07-11,1879.89,1897.0184721898663
2023-07-12,1889.85,1897.4629878253872
2023-07-13,1899.48,1909.5556890841244
2023-07-14,1896.36,1909.3083009512425
2023-07-17,1901.59,1912.0755453880568
2023-07-18,1908.77,1915.4742301121735
2023-07-19,1901.61,1911.7321008042895
2023-07-20,1897.35,1910.4780359311262
2023-07-21,1899.95,1909.436158637603
2023-07-24,1902.94,1913.0125417501642
2023-07-25,1900.03,1911.1292049868268
2023-07-26,1896.97,1909.6376053844904
2023-07-27,1901.25,1911.5239501168971
2023-07-28,1897.04,1910.047108002776
2023-07-31,1902.25,1913.0222708597946
2023-08-01,1900.17,1913.8475711551796
2023-08-02,1898.87,1913.6704956457434
2023-08-03,1892.81,1909.6025182819506
2023-08-04,1899.25,1908.381128160543
2023-08-07,1899.21,1910.5232228417628
2023-08-08,1903.43,1913.9830346877864
2023-08-09,1904.12,1915.4394741583035
2023-08-10,1907.1,1916.971977758002
2023-08-11,1905.03,1917.6191177760934
2023-08-14,1901.56,1915.3923992571565
2023-08-16,1901.94,1915.273605646536
2023-08-17,1895.42,1911.9739554003925
2023-08-18,1894.66,1912.5761778789379
2023-08-21,1891.14,1912.4380738304058
2023-08-22,1894.33,1911.5555770570859
2023-08-23,1901.09,1914.1414007782896
2023-08-24,1902.27,1915.3428190307238
2023-08-25,1899.55,1914.475610271137
2023-08-28,1897.72,1912.856713756252
2023-08-29,1900.05,1915.7334757020644
2023-08-30,1908.27,1918.6862087056227
2023-08-31,1905.45,1919.1141741437764
2023-09-01,1905.01,1920.1133090545568
2023-09-04,1905.06,1920.5197032953085
2023-09-05,1907.74,1922.2241251193204
2023-09-06,1911.56,1922.421709486495
2023-09-07,1908.42,1925.1170738118244
2023-09-08,1922.82,1929.766243675122
2023-09-11,1929.02,1933.4092624617583
2023-09-12,1925.15,1931.835299597445
2023-09-13,1921.82,1929.5536526515605
2023-09-14,1923.12,1931.668369479318
2023-09-15,1923.58,1932.4501181786245
2023-09-18,1922.9,1932.2588967320733
2023-09-19,1921.23,1932.1402293541882
2023-09-20,1919.89,1929.7419381951793
2023-09-21,1914.52,1928.1482327160757
2023-09-22,1916.63,1927.016521268912
2023-09-25,1916.47,1926.025322357032
2023-09-26,1917.9,1927.90285370355
2023-09-27,1919.06,1929.4989856674936
2023-09-28,1913.17,1925.6699039494845
2023-09-29,1917.31,1926.835918103453
2023-10-02,1918.4,1928.9762587667306
2023-10-03,1920.83,1930.4735250886067
2023-10-04,1913.12,1927.2663610988843
2023-10-05,1911.19,1925.7795700037332
2023-10-06,1907.3,1925.1558047046942
2023-10-09,1906.93,1923.212261593898
2023-10-10,1912.04,1924.7654518160928
2023-10-11,1916.9,1931.4487182083953
2023-10-12,1915.38,1930.110748485347
2023-10-13,1913.99,1928.931667628884
2023-10-16,1917.85,1931.8648067432503
2023-10-17,1913.7,1930.7807822726666
2023-10-18,1916.64,1932.2543968225339
2023-10-19,1908.19,1928.0000693192687
2023-10-20,1906.0,1925.4359475897297
2023-10-23,1900.18,1921.1334775517278
